School Name,School Type,Total Students,Total School Budget,Per Student Budget,Average Maths Score,Average Reading Score,% Passing Maths,% Passing Reading,% Overall Passing
Hernandez High School,Government,4635,3022020,652.0,68.87486515641855,69.18640776699029,80.94929881337649,81.87702265372168,66.3646170442287
Huang High School,Government,2917,1910635,655.0,68.93520740486801,68.9105245114844,81.6935207404868,81.45354816592389,66.71237572848817
Johnson High School,Government,4761,3094650,650.0,68.84310018903592,69.03927746271792,82.06259189245957,81.97857592942658,67.19176643562277
Wilson High School,Independent,2283,1319574,578.0,69.17082785808147,68.87691633815156,82.78580814717476,81.29653964082347,67.455102934735
Ford High School,Government,2739,1763916,644.0,69.09127418765974,69.57247170500183,82.43884629426798,82.21978824388462,67.46987951807229
Figueroa High School,Government,2949,1884411,639.0,68.69854187860291,69.07799253984402,81.65479823669041,82.80773143438454,67.65005086469989
Thomas High School,Independent,1635,1043130,638.0,69.5816513761468,69.76880733944954,83.85321100917432,82.62996941896024,69.48012232415903
Shelton High School,Independent,1761,1056600,600.0,72.03407155025553,70.25780806360022,91.53889835320841,86.71209540034071,78.87563884156728
Holden High School,Independent,427,248087,581.0,72.5831381733021,71.66042154566745,89.92974238875878,88.52459016393442,78.92271662763466
Pena High School,Independent,962,585858,609.0,72.08835758835758,71.61330561330561,91.68399168399168,86.5904365904366,79.20997920997921
Rodriguez High School,Government,3999,2547363,637.0,72.04776194048512,70.935983995999,90.79769942485622,87.39684921230307,79.41985496374093
Wright High School,Independent,1800,1049400,583.0,72.04722222222222,70.96944444444445,91.77777777777779,86.66666666666667,79.72222222222223
Bailey High School,Government,4976,3124928,628.0,72.35289389067525,71.0088424437299,91.63987138263666,87.37942122186494,80.08440514469454
Cabrera High School,Independent,1858,1081356,582.0,71.65715823466093,71.35952637244348,90.85037674919269,89.07427341227125,80.78579117330463
Griffin High School,Independent,1468,917500,625.0,71.78814713896458,71.24523160762942,91.21253405994551,88.48773841961854,81.33514986376021
